player_id,first_name,last_name,position,jersey_number,team_id,team_abbr,roster_status,injury_description,playing_probability,last_updated_on
13110,Dalvin,Tomlinson,DT,94,76,ARI,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
108868,Tre'Vius,Tomlinson,CB,6,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
133909,Bralen,Trice,LB,48,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
112020,Cory,Trice Jr.,LB,27,59,PIT,ROSTER,hamstring,OUT,2025-09-15T12:40:02.401Z
30695,Jay,Tufele,DT,78,51,NYJ,ROSTER,illness,OUT,2025-09-15T12:40:02.401Z
166714,JT,Tuimoloau,DE,91,65,IND,ROSTER,knee,QUESTIONABLE,2025-09-15T12:40:02.401Z
166731,Shemar,Turner,DT,95,60,CHI,ROSTER,ankle,QUESTIONABLE,2025-09-15T12:40:02.401Z
15040,Zeke,Turner,LB,47,,,UFA,foot,OUT,2025-09-15T12:40:02.401Z
30452,Payton,Turner,DE,98,,,UFA,ribs,OUT,2025-09-15T12:40:02.401Z
166747,Princely,Umanmielen,LB,3,69,CAR,ROSTER,shoulder,QUESTIONABLE,2025-09-15T12:40:02.401Z
133967,Sione,Vaki,RB,33,61,DET,ROSTER,hamstring,QUESTIONABLE,2025-09-15T12:40:02.401Z
30357,Cole,Van Lanen,OT,70,66,JAX,ROSTER,shoulder,QUESTIONABLE,2025-09-15T12:40:02.401Z
133977,Sedrick,Van Pran-Granger,C,62,48,BUF,ROSTER,calf,OUT,2025-09-15T12:40:02.401Z
112166,Ben,VanSumeren,FB,43,54,PHI,ROSTER,knee,OUT,2025-09-15T12:40:02.401Z
30442,Alijah,Vera-Tucker,G,75,51,NYJ,INJURY_LIST,tricep,OUT,2025-09-15T12:40:02.401Z
167979,Malik,Verdon,ILB,43,,,UFA,undisclosed,OUT,2025-09-15T12:40:02.401Z
30434,Jaylen,Waddle,WR,17,49,MIA,ROSTER,shoulder,QUESTIONABLE,2025-09-15T12:40:02.401Z
134289,Dayton,Wade,LB,82,,,UFA,ribs,OUT,2025-09-15T12:40:02.401Z
166669,Deone,Walker,DT,96,48,BUF,ROSTER,illness,QUESTIONABLE,2025-09-15T12:40:02.401Z
166785,David,Walker,OLB,,,,UFA,knee,OUT,2025-09-15T12:40:02.401Z
133948,Devontez,Walker,WR,81,56,BAL,ROSTER,undisclosed,QUESTIONABLE,2025-09-15T12:40:02.401Z
